Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Misra, Rishabh; Wan, Mengting; McAuley, Julian; ",Decomposing fit semantics for product size recommendation in metric spaces,Proceedings of the 12th ACM Conference on Recommender Systems,,,422-426,2018,ACM
"Saha, Avijit; Misra, Rishabh; Acharya, Ayan; Ravindran, Balaraman; ",Scalable variational Bayesian factorization machine,"ResearchGate, DOI: 10.13140/RG.2.2.31607.73126",,,,2017,
"Saha, Avijit; Misra, Rishabh; Ravindran, Balaraman; ",Scalable Bayesian Matrix Factorization,"Proceedings of 6th International Workshop on Mining Ubiquitous and Social Environments (MUSE), co‑located with the ECML PKDD",,,43-54,2015,
"Mavalankar, Aditi A; Gupta, Ajitesh; Gandotra, Chetan; Misra, Rishabh; ",Hotel recommendation system,arXiv preprint arXiv:1908.07498,,,,2019,
"Wan, Mengting; Misra, Rishabh; Nakashole, Ndapa; McAuley, Julian; ",Fine-Grained Spoiler Detection from Large-Scale Review Corpora,Proceedings of the 57th Conference of the Association for Computational Linguistics,,,,2019,
"Misra, Rishabh; Arora, Prahal; ",Sarcasm Detection using Hybrid Neural Network,arXiv preprint arXiv:1908.07414,,,,2019,
"Wan, Mengting; Ni, Jianmo; Misra, Rishabh; McAuley, Julian; ",Addressing Marketing Bias in Product Recommendations,Proceedings of the 13th International Conference on Web Search and Data Mining,,,618-626,2020,
"Misra, Rishabh; ",News category dataset,DOI: DOI: https://doi. org/10.13140/RG,2,20331.18729,,2018,
"Misra, Rishabh; ",News Headlines Dataset For Sarcasm Detection,,,,,2018,DOI: 10.13140/RG.2.2.16182.40004
"Misra, Rishabh; ",Imdb spoiler dataset,"ResearchGate, DOI: 10.13140/RG.2.2.11584.15362",,,,2019,
"Misra, Rishabh; Grover, Jigyasa; ",Sculpting Data for ML: The first act of Machine Learning,,,,,2021,ISBN‑13: 979‑8585463570
"Misra, R; ",News headlines dataset for sarcasm detection. 2019,,,,,2019,
"Misra, Rishabh; ",News category dataset. ResearchGate,,,,,2018,
"Misra, Rishabh; Grover, Jigyasa; ",Do Not ‘Fake It Till You Make It’! Synopsis of Trending Fake News Detection Methodologies Using Deep Learning,Deep Learning for Social Media Data Analytics,113,,213-235,2022,Springer Cham
